Mesec,Anglija,Avstralija,Avstrija,Ceska,Finska,Francija,Grcija,Irska,Italija,Kanada,Nemcija,Nizozemska,Norveska,Nova Zelandija,Portugalska,Rusija,Slovaska,Slovenija,Spanija,Svedska,Svica,Turcija,Ukrajina,Zdruzene drzave Amerike
2008-10,17,0,0,0,0,0,0,0,0,13,5,10,0,35,0,0,0,0,11,0,0,0,0,24
2008-11,6,24,0,0,0,0,0,0,0,7,5,10,0,19,0,0,0,0,12,0,0,0,0,15
2008-12,6,27,0,0,0,0,0,10,0,12,0,0,0,42,0,0,0,0,13,0,0,0,0,20
2009-01,31,29,0,0,0,0,0,16,15,19,0,38,0,19,0,0,0,0,0,0,0,0,0,25
2009-02,12,24,0,0,0,24,0,9,0,9,5,21,0,19,0,0,0,0,18,0,22,0,0,26
2009-03,27,35,0,0,0,0,67,8,0,14,7,14,0,16,0,0,0,0,0,0,19,0,0,38
2009-04,20,19,0,0,0,0,0,8,25,15,10,21,0,0,0,0,0,0,11,0,0,0,0,28
2009-05,47,37,0,0,0,0,62,8,16,44,19,28,0,15,0,0,0,0,20,0,0,0,0,48
2009-06,57,44,0,0,0,22,62,12,16,33,9,32,0,15,0,0,0,0,10,0,0,0,0,51
2009-07,53,10,0,0,0,23,0,16,32,45,5,44,0,15,0,0,0,0,26,0,44,0,0,46
2009-08,58,32,0,0,0,25,0,16,40,44,9,30,0,0,0,0,0,0,23,0,31,0,0,35
2009-09,22,10,0,0,0,0,0,0,0,13,4,9,0,14,0,0,0,0,19,0,20,0,0,29
2009-10,21,16,0,0,0,0,0,0,0,21,0,8,0,22,0,0,0,0,0,0,19,0,0,21
2009-11,14,13,0,0,0,0,0,0,0,5,0,8,0,43,0,0,0,0,0,0,19,0,0,23
2009-12,17,15,0,0,0,0,0,0,0,11,7,8,0,0,0,0,0,0,9,0,0,0,0,15
2010-01,21,28,24,0,0,9,0,7,0,18,0,19,0,22,0,0,0,0,13,0,17,0,0,24
2010-02,9,24,0,0,0,0,0,0,0,24,9,8,0,15,0,0,0,0,9,0,19,0,0,25
2010-03,19,32,0,0,0,9,0,10,0,16,12,7,0,26,0,0,0,0,0,0,17,0,0,27
2010-04,27,29,0,0,0,10,0,7,14,17,8,16,0,14,0,0,0,0,17,0,0,0,0,36
2010-05,33,18,26,0,0,28,0,22,0,33,6,8,0,13,0,0,0,0,8,0,18,0,0,40
2010-06,43,41,0,0,0,29,46,0,14,39,9,25,0,0,0,0,0,0,13,0,19,0,0,58
2010-07,61,17,28,0,0,30,96,6,14,47,16,21,0,0,0,0,0,0,9,0,58,0,0,48
2010-08,42,14,0,0,0,0,55,0,33,21,0,8,0,25,0,0,0,0,23,0,69,0,0,40
2010-09,16,39,0,0,0,17,0,6,0,12,4,14,0,13,0,0,0,0,8,0,0,0,0,21
2010-10,6,11,0,0,0,0,0,0,0,15,4,14,0,0,0,0,0,0,15,0,33,0,0,19
2010-11,9,11,0,0,0,8,0,0,0,9,7,14,0,20,0,0,0,0,0,0,16,0,0,15
2010-12,8,21,0,0,0,0,0,11,0,3,4,21,0,15,0,0,0,0,8,0,17,0,0,11
2011-01,18,22,0,0,0,13,0,0,8,10,4,20,0,19,0,0,0,0,14,0,0,0,0,18
2011-02,21,14,0,0,0,20,0,7,8,19,3,26,0,10,0,0,0,0,7,0,13,0,0,21
2011-03,24,26,0,0,0,6,0,4,22,20,4,20,0,8,0,0,0,0,6,0,11,0,0,26
2011-04,38,19,0,0,0,14,0,9,16,26,8,7,0,18,0,0,0,0,21,0,26,0,0,29
2011-05,45,10,16,0,0,13,15,8,11,30,6,6,0,12,0,0,0,0,30,0,23,0,0,33
2011-06,50,14,18,0,0,13,31,4,31,28,6,18,0,16,0,0,0,0,14,0,12,0,0,45
2011-07,48,10,0,0,0,0,33,11,20,42,7,25,0,0,0,0,0,0,26,0,13,0,0,40
2011-08,58,18,0,0,0,7,25,8,9,39,9,18,0,0,0,0,0,0,23,0,12,0,0,37
2011-09,16,3,0,0,0,0,14,4,0,18,6,12,0,8,0,0,0,0,7,0,0,0,0,26
2011-10,14,8,0,0,0,0,0,4,7,6,3,5,0,15,0,0,0,0,6,0,11,0,0,18
2011-11,8,19,0,0,0,12,0,4,0,7,3,5,0,11,0,0,0,0,6,0,32,0,0,13
2011-12,13,16,0,0,0,0,0,0,0,4,5,8,0,12,0,0,0,0,0,0,11,0,0,12
2012-01,14,19,0,0,0,11,0,9,0,12,2,17,0,7,0,0,0,0,0,0,19,0,0,18
2012-02,12,14,14,0,0,0,0,0,6,13,3,13,0,8,0,0,0,0,6,0,21,0,0,21
2012-03,16,34,0,0,0,6,12,5,10,15,5,7,0,7,0,0,0,0,12,0,10,0,0,28
2012-04,29,16,0,0,0,6,13,4,10,12,10,13,0,7,0,0,0,0,15,0,15,0,0,25
2012-05,27,16,0,0,0,11,12,3,6,34,5,13,0,6,0,0,0,0,35,0,20,0,0,33
2012-06,40,22,0,0,0,0,13,9,13,34,11,27,0,0,0,0,0,0,16,0,15,0,0,36
2012-07,34,11,15,0,0,12,47,9,17,43,11,27,0,6,0,0,0,0,29,0,21,0,0,38
2012-08,23,15,0,0,0,32,14,0,30,29,5,11,0,6,0,0,0,0,14,0,20,0,0,28
2012-09,14,20,0,0,0,12,0,5,6,15,5,7,0,6,0,0,0,0,6,0,29,0,0,23
2012-10,7,19,0,0,0,0,0,0,6,10,5,4,0,6,0,0,0,0,5,0,0,0,0,14
2012-11,8,14,0,0,0,5,11,6,0,8,2,9,0,6,0,0,0,0,0,0,0,0,0,11
2012-12,4,13,0,0,0,0,0,10,6,5,5,13,0,0,0,0,0,0,0,0,9,0,0,14
2013-01,16,10,0,0,0,5,0,3,5,13,5,10,0,6,0,0,0,0,5,0,12,0,0,18
2013-02,15,11,37,0,0,0,0,5,6,10,3,11,0,9,0,0,0,0,16,0,0,0,0,21
2013-03,14,13,11,0,0,5,0,4,10,21,3,8,0,5,0,0,0,0,10,0,16,0,0,29
2013-04,18,21,0,0,0,10,0,15,11,13,4,4,0,5,0,0,0,0,5,0,8,0,0,24
2013-05,34,5,0,0,0,10,0,9,7,28,3,19,0,5,0,0,0,0,27,0,8,0,0,34
2013-06,34,15,12,0,0,20,20,8,11,30,8,21,0,0,0,0,0,0,26,0,28,0,0,42
2013-07,50,21,12,0,0,5,10,3,13,29,10,34,0,5,0,0,0,0,27,0,0,0,0,36
2013-08,42,14,24,0,0,28,32,6,12,21,9,26,0,5,0,0,0,0,14,0,23,0,0,29
2013-09,10,11,0,0,0,25,9,3,5,12,6,12,0,10,0,0,0,0,8,0,0,0,0,28
2013-10,14,13,11,0,0,5,0,5,5,7,2,6,0,10,0,0,0,0,5,0,0,0,0,16
2013-11,4,16,0,0,0,5,0,3,10,5,4,16,0,10,0,0,0,0,5,0,9,0,0,15
2013-12,8,18,11,0,0,9,9,0,0,6,4,0,0,5,0,0,0,0,10,0,0,0,0,12
2014-01,14,15,0,0,0,13,0,11,9,12,7,11,0,10,0,0,0,0,5,0,8,0,0,19
2014-02,17,12,0,0,0,0,9,5,5,11,3,32,0,13,0,0,0,0,12,0,18,0,0,25
2014-03,22,22,10,0,0,0,0,5,16,14,7,18,0,5,0,0,0,0,18,0,8,0,0,27
2014-04,21,22,11,0,0,0,0,12,10,25,5,9,0,5,0,0,0,0,10,0,9,0,0,28
2014-05,33,14,11,0,0,14,9,2,24,26,7,18,0,7,0,0,0,0,7,0,25,0,0,46
2014-06,41,19,24,0,0,16,29,5,11,24,13,19,0,0,0,0,0,0,24,0,19,0,0,45
2014-07,57,15,12,0,0,21,20,5,19,37,16,15,0,10,0,0,0,0,34,0,19,0,0,46
2014-08,39,19,0,0,0,23,10,5,18,25,5,18,0,0,0,0,0,0,36,0,9,0,0,34
2014-09,7,9,11,0,0,10,9,2,5,13,5,6,0,8,0,0,0,0,8,0,0,0,0,25
2014-10,7,17,0,0,0,10,0,2,0,8,3,11,0,0,0,0,0,0,0,0,0,0,0,20
2014-11,9,18,0,0,0,5,0,2,0,6,3,7,0,5,0,0,0,0,5,0,9,0,0,18
2014-12,6,15,0,0,0,5,17,2,5,6,2,11,0,11,0,0,0,0,5,0,9,0,0,16
2015-01,16,18,0,0,0,4,0,4,9,18,6,22,0,10,0,0,0,0,19,0,8,0,0,24
2015-02,19,18,0,0,0,5,0,0,5,15,6,17,0,10,0,0,0,0,5,0,8,0,0,28
2015-03,38,19,10,0,0,4,0,2,7,21,5,21,0,9,0,0,0,0,14,0,11,0,0,36
2015-04,25,18,0,0,0,9,0,5,10,17,7,11,0,5,0,0,0,0,7,0,16,0,0,33
2015-05,33,15,0,0,0,23,0,7,14,24,10,10,0,4,0,0,0,0,7,0,8,0,0,37
2015-06,44,21,21,0,0,14,0,7,14,24,9,13,0,7,0,0,0,0,14,0,0,0,0,45
2015-07,44,14,11,0,0,9,27,9,17,45,10,20,0,4,0,0,0,0,29,0,19,0,0,47
2015-08,29,8,0,0,0,24,48,8,13,36,16,25,0,13,0,0,0,0,15,0,9,0,0,42
2015-09,18,14,0,0,0,4,0,0,4,19,5,4,0,4,0,0,0,0,4,0,0,0,0,31
2015-10,14,13,0,0,0,13,9,4,0,8,4,13,0,0,0,0,0,0,4,0,25,0,0,24
2015-11,5,17,10,0,0,13,9,4,4,6,3,5,0,9,0,0,0,0,4,0,0,0,0,21
2015-12,9,20,0,0,0,0,0,4,0,7,8,3,0,5,0,0,0,0,4,0,9,0,0,20
2016-01,21,24,0,0,0,8,0,10,12,11,4,16,0,5,0,0,0,0,5,0,14,0,0,24
2016-02,25,17,10,0,0,22,0,5,10,16,2,6,0,19,0,0,0,0,10,0,8,0,0,26
2016-03,23,16,9,0,0,21,0,2,9,25,5,11,0,15,0,0,0,0,12,0,0,0,0,33
2016-04,19,23,10,0,0,13,0,5,5,19,8,17,0,5,0,0,0,0,5,0,8,0,0,33
2016-05,30,14,10,0,0,31,0,7,7,18,7,29,0,4,0,0,0,0,14,0,0,0,0,39
2016-06,28,20,20,0,0,41,13,5,5,37,10,14,0,9,0,0,0,0,30,0,15,0,0,44
2016-07,52,17,0,0,0,5,18,5,10,31,14,22,0,0,0,0,0,0,21,0,13,0,0,44
2016-08,25,13,12,0,0,37,10,3,14,17,10,19,0,5,0,0,0,0,23,0,17,0,0,36
2016-09,17,24,11,0,0,24,9,0,7,21,8,6,0,5,0,0,0,0,10,0,8,0,0,28
2016-10,10,17,0,0,0,14,9,0,5,11,6,6,0,5,0,0,0,0,17,0,12,0,0,22
2016-11,7,23,10,0,0,0,9,7,5,8,5,0,0,4,0,0,0,0,5,0,0,0,0,22
2016-12,13,25,0,0,0,18,0,3,5,10,5,7,0,7,0,0,0,0,5,0,0,0,0,19
2017-01,15,16,19,0,0,8,0,5,0,11,5,17,0,9,0,0,0,0,0,0,14,0,0,25
2017-02,19,19,0,0,0,24,0,5,0,16,7,13,0,7,0,0,0,0,10,0,8,0,0,26
2017-03,16,23,9,0,0,41,0,3,13,13,10,13,0,6,0,0,0,0,8,0,7,0,0,32
2017-04,21,16,10,0,0,22,9,5,0,24,9,11,0,4,0,0,0,0,19,0,15,0,0,38
2017-05,32,15,10,0,0,13,8,8,18,29,9,12,0,0,0,0,0,0,13,0,15,0,0,42
2017-06,27,19,10,0,0,18,9,4,7,31,18,17,0,4,0,0,0,0,26,0,19,0,0,47
2017-07,35,13,10,0,0,14,9,9,7,34,8,18,0,7,0,0,0,0,22,0,8,0,0,47
2017-08,28,18,10,0,0,18,18,5,7,23,12,18,0,8,0,0,0,0,14,0,7,0,0,42
2017-09,16,20,19,0,0,26,0,2,9,15,7,8,0,10,0,0,0,0,11,0,7,0,0,31
2017-10,9,18,9,0,0,16,0,2,4,9,4,8,0,4,0,0,0,0,4,0,14,0,0,30
2017-11,6,14,18,0,0,4,0,2,0,10,7,3,0,6,0,0,0,0,4,0,0,0,0,21
2017-12,12,16,0,0,0,8,9,4,0,5,3,13,0,9,0,0,0,0,5,0,7,0,0,18
2018-01,22,20,0,0,0,4,8,5,8,21,9,23,0,8,0,0,0,0,8,0,6,0,0,24
2018-02,16,15,9,0,0,4,0,2,7,17,7,4,0,10,0,0,0,0,9,0,7,0,0,31
2018-03,11,19,8,0,0,12,0,2,8,14,15,13,0,4,0,0,0,0,12,0,6,0,0,33
2018-04,27,24,9,0,0,17,0,4,13,21,13,15,0,6,0,0,0,0,18,0,0,0,0,33
2018-05,22,18,9,0,0,20,8,5,8,24,17,11,0,6,0,0,0,0,12,0,10,0,0,41
